SampleID,control,E5,E10,e20
1,0.987206579,2.259373939,0,2.653074426
2,1.691564046,2.138907851,1.573348437,0
3,1.714725659,2.612517772,2.520772973,2.864998396
4,2.041392685,2.671304764,2.645502493,1.916491503
5,2.281115667,2.071125007,2.684169856,0.611673148
6,2.481543733,2.251069758,2.645502493,3.072761915
7,2.497023607,3.155728737,2.910746725,2.916825493
8,2.499053342,3.031594784,2.703366133,2.646434477
9,2.550342303,3.049007309,2.711781819,2.908632207
10,2.684221645,2.719691069,2.779510165,2.68765141
11,2.687651458,2.602340978,1.991088604,2.484864985
12,2.734276688,2.468594495,2.473000073,2.373341598
13,2.889367193,2.923120909,2.576706558,2.978612029
14,2.901938288,3.013061596,2.26405401,2.833616361
15,2.948314046,3.028933761,3.267090252,3.11430399
16,3.01474948,2.825766657,3.035096383,2.889022
17,3.128136109,3.110694798,3.172369759,3.202980735
18,3.137051662,3.37012647,3.328852146,3.269798526
19,3.159473242,3.294745848,3.107798753,3.18866296
20,3.327852008,3.552893654,3.298724678,3.168695978
21,3.46057608,3.320833714,3.293768276,3.045209116
22,3.549070579,3.68092807,3.77362916,3.549916952
23,3.592824279,3.540586535,3.623428502,3.591191835
24,3.873558122,3.828435472,3.699008929,3.735120246
