Lab Code,S/No.,County,Weight (g),Aflatoxin Level (Kenya-ppb),Aflatoxin Level (USA-ppb),Fumonisin Level (USA-ppb),Log_aflatoxin,Log_fumonisin
IM 105,1,Embu,100,113.7,183.1366029,4273.28116,2.262775,3.630761
IM 111,2,Tharaka Nithi,50,62.8,26.00313797,152.98608,1.415026,2.184652
IM 113,3,Embu,50,26.1,14.60456842,3661.60036,1.164489,3.563671
IM 119,4,Meru,50,126.9,139.4444159,2941.52438,2.144401,3.468572
IM 120,5,Meru,50,118.6,113.8610361,1669.02100,2.056375,3.222462
IM 123,6,Meru,50,134.7,162.3357135,4568.12973,2.210414,3.659738
IM 131,7,Meru,50,50,39.68380449,5388.40269,1.598613,3.731460
IM 133,8,Embu,100,112.6,71.08517689,573.89770,1.851779,2.758834
IM 139,9,Tharaka Nithi,100,95.9,43.49869672,4242.29056,1.638476,3.627600
IM 140,10,Meru,50,111.9,31.8827667,159.00165,1.503556,2.201402
IM 141,11,Meru,50,68.3,14.937884,1987.96052,1.174289,3.298408
IM 145,12,Embu,50,120.1,110.9598941,3841.35653,2.045166,3.584485
IM 152,13,Meru,50,107.8,21.33733514,1685.84562,1.329140,3.226818
IM 153,14,Meru,100,11,3.906729912,252.35144,0.591813,2.402006
IM 154,15,Embu,100,31.8,13.59331888,3150.23615,1.133326,3.498343
IM 159,16,Meru,50,27.7,16.53535417,2202.09275,1.218414,3.342836
IM 160,17,Meru,50,17.4,17.21152907,348.14329,1.235819,2.541758
IM 161,18,Meru,100,103.6,74.35782012,269.59615,1.871327,2.430714
IM 162,19,Meru,50,134,128.192453,2238.71894,2.107862,3.350000
IM 166,20,Embu,50,718,305.3101311,5675.60240,2.484741,3.754012
IM 168,21,Meru,50,138.7,100.1969468,2676.76722,2.000854,3.427611
IM 171,22,Tharaka Nithi,100,807,395.1790505,3930.36422,2.596794,3.594433
IM 179,23,Meru,50,43.1,66.43163433,5978.68438,1.822375,3.776606
IM 180,24,Meru,50,144.6,722.8042992,5521.04280,2.859021,3.742021
IM 182,25,Meru,50,10.6,8.302580655,441.63318,0.919213,2.645062
IM 184,26,Meru,50,134.7,107.7543162,5681.77153,2.032435,3.754484
IM 186,27,Meru,100,18.9,10.17639015,4864.09000,1.007594,3.687002
IM 188,28,Meru,20,12,4.565621606,5681.77153,0.659500,3.754484
IM 190,29,Embu,20,119.9,65.52128418,7337.17961,1.816382,3.865529
IM 191,30,Embu,50,59.6,18.29548648,332.50279,1.262344,2.521795
IM 196,31,Meru,50,117.5,65.72194388,683.42288,1.817710,2.834690
IM 197,32,Tharaka Nithi,50,79.5,7.596429611,2.28133,0.880610,0.358188
IM 198,33,Embu,50,25,4.396588536,3298.13757,0.643116,3.518269
IM 199,34,Embu,50,77.8,47.3536345,1990.73286,1.675353,3.299013
IM 200,35,Embu,50,16,9.71031847,1494.81918,0.987233,3.174589
IM 201,36,Embu,100,11,1.43367544,1225.49273,0.156451,3.088311
IM 202,37,Embu,100,126,184.8345325,2052.89435,2.266783,3.312367
IM 206,38,Embu,50,112.3,30.14549848,161.69112,1.479222,2.208686
IM 207,39,Embu,50,79.5,36.84062828,#NUM!,1.566327,0.000000
IM 210,40,Meru,100,133.1,Not done,7.25295,0.000000,0.860514
IM 212,41,Embu,50,113.3,48.72629279,#NUM!,1.687763,0.000000
IM 213,42,Embu,20,127.4,48.11596268,3318.82081,1.682289,3.520984
IM 216,43,Meru,100,127.8,55.52708573,#NUM!,1.744505,0.000000
IM 219,44,Meru,50,42.4,8.692927096,4699.96240,0.939166,3.672094
IM 220,45,Tharaka Nithi,100,39.9,33.468241,895.19185,1.524633,2.951916
IM 221,46,Meru,100,73.3,31.36774937,1188.47776,1.496483,3.074991
IM 223,47,Embu,50,1070,337.5908942,#NUM!,2.528391,0.000000
IM 224,48,Meru,20,41.9,29.4095519,910.06340,1.468488,2.959072
IM 231,49,Embu,50,52.6,7.596429611,4.28064,0.880610,0.631509
IM 233,50,Embu,50,125,163.4735675,4330.49967,2.213448,3.636538
IM 235,51,Embu,100,24.7,7.81624508,53.11946,0.892998,1.725254
IM 236,52,Embu,50,40,15.36663624,123.85839,1.186579,2.092925
IM 242,53,Meru,100,108.8,316.8196655,1420.92389,2.500812,3.152571
IM 243,54,Meru,100,38.7,15.77855693,3339.69226,1.198067,3.523706
IM 247,55,Embu,50,30.4,14.86250156,343.07876,1.172092,2.535394
IM 251,56,Embu,50,813,251.5360274,1654.05743,2.400600,3.218551
IM 252,57,Embu,100,129.5,161.9491545,3067.50039,2.209379,3.486785
IM 253,58,Meru,50,106.7,114.2027769,11264.05437,2.057677,4.051695
IM 255,59,Meru,20,146.3,>max,1624.13779,2.165244,3.210623
IM 258,60,Meru,50,89,74.84540734,2164.59109,1.874165,3.335376
IM 260,61,Embu,50,66.1,18.34453257,1461.51935,1.263507,3.164805
IM 266,62,Tharaka Nithi,50,1204,577.5927457,1493.77592,2.761622,3.174285
IM 270,63,Meru,50,132.1,80.34094154,1417.70048,1.904937,3.151584
IM 273,64,Embu,20,144,281.0519496,2085.02544,2.448787,3.319111
IM 275,65,Embu,20,101.2,35.97585279,419.09315,1.556011,2.622311
IM 281,66,Embu,100,43.7,10.88654573,594.85622,1.036890,2.774412
IM 286,67,Embu,50,11.3,11.69619663,614.81194,1.068045,2.788742
IM 288,68,Embu,50,130.4,117.3093529,8.93812,2.069333,0.951246
IM 289,69,Tharaka Nithi,100,10.8,9.531500317,#NUM!,0.979161,0.000000
IM 291,70,Meru,50,127.5,66.20985758,350.19114,1.820923,2.544305
IM 292,71,Meru,100,125,117.0063705,1752.23112,2.068210,3.243591
IM 293,72,Embu,100,144.2,73.3438383,29.25847,1.865364,1.466252
IM 296,73,Embu,50,119.4,45.93509509,2663.18296,1.662145,3.425401
IM 299,74,Meru,50,138.9,201.6144606,2335.26551,2.304522,3.368336
IM 301,75,Tharaka Nithi,50,118,94.57203721,936.41139,1.975763,2.971467
IM 304,76,Tharaka Nithi,20,27.7,25.29829049,2357.75617,1.403091,3.372499
IM 305,77,Tharaka Nithi,50,559,440.6534172,3131.55091,2.644097,3.495759
IM 309,78,Embu,50,44,16.93722904,#NUM!,1.228842,0.000000
IM 310,79,Meru,100,47,16.34878061,152.60634,1.213485,2.183573
IM 312,80,Embu,100,12,1.342696596,609.76298,0.127978,2.785161
IM 314,81,Embu,50,117.1,42.69995341,1824.89281,1.630427,3.261237
IM 315,82,Tharaka Nithi,20,1294,>max,12.35766,3.111934,1.091936
IM 318,83,Meru,100,14.7,2.64486324,3989.07397,0.422403,3.600872
IM 319,84,Meru,50,23.4,17.16115679,1262.18208,1.234547,3.101122
IM 320,85,Embu,50,46.1,13.07954389,2380.51737,1.116593,3.376671
IM 321,86,Embu,100,32.3,5.754033112,1030.59684,0.759972,3.013089
IM 323,87,Meru,50,142.1,37.90114071,1682.98642,1.578652,3.226081
IM 327,88,Meru,20,136.6,43.3264095,3612.88610,1.636753,3.557854
IM 328,89,Embu,20,149.5,133.7877167,9468.28324,2.126416,3.976271
IM 330,90,Meru,20,98.8,60.49709301,11115.69462,1.781735,4.045937
IM 333,91,Embu,20,830,151.7591522,122.13908,2.181155,2.086855
IM 336,92,Meru,20,146.5,131.8720501,#NUM!,2.120153,0.000000
IM 339,93,Meru,20,423,129.6407683,412.64096,2.112742,2.615572
IM 344,94,Meru,50,829,754.362783,39.71465,2.877580,1.598951
IM 346,95,Meru,50,11.3,2.128115204,93.83359,0.327995,1.972358
IM 349,96,Meru,20,1287,483.5736919,55.66814,2.684463,1.745607
IM 350,97,Meru,20,64.8,26.66980383,11638.30127,1.426020,4.065890
