Sample.ID,Afla_Logcontrol,Afla_Log 20,Afla_Log5,Afla_Log10,LogC_20,LogC_5,LogC_10
1,-0.59,0.26,1.14,-0.13,-0.86,-1.73,-0.46
2,0,0,-0.19,-0.56,0,0.19,0.56
3,0.16,0.53,0.29,0.17,-0.37,-0.13,0
4,0.27,-0.98,0.16,0.08,1.26,0.11,0.19
5,0.41,0.51,0.48,0.72,-0.1,-0.07,-0.31
6,0.41,0.61,0.44,0.71,-0.2,-0.03,-0.3
7,0.41,0.47,0.84,0.53,-0.05,-0.43,-0.11
8,0.47,0.07,0.61,0.38,0.4,-0.14,0.09
9,0.51,0.31,0.59,0.84,0.2,-0.07,-0.33
10,0.56,0.6,0.74,0.33,-0.03,-0.17,0.24
11,0.77,0.33,0.81,0.87,0.45,-0.04,-0.09
12,0.91,0.45,0.88,1.13,0.46,0.03,-0.22
13,0.92,0.09,0.46,0.39,0.83,0.46,0.53
14,0.94,0.68,2.47,0.82,0.26,-1.53,0.11
15,1,1.15,1.83,1.37,-0.15,-0.84,-0.38
16,1,0.63,0.85,1.07,0.37,0.15,-0.07
17,1.03,0.24,1.04,0.65,0.79,-0.02,0.38
18,1.03,0.11,0.64,1.77,0.92,0.39,-0.74
19,1.18,0.59,1.11,0.92,0.58,0.06,0.26
20,1.19,1.88,1.18,1.47,-0.69,0.01,-0.28
21,1.26,0.8,1.73,1.29,0.46,-0.47,-0.03
22,1.54,1.08,1.27,1.53,0.46,0.27,0.01
23,1.6,0.19,0.49,0.65,1.41,1.11,0.95
24,2.04,2.16,1.55,1.32,-0.12,0.49,0.72
